2026-02-09 15:14:46 [WARNING] json_repair not available. Using fallback JSON parsing.
2026-02-09 15:14:46 [INFO] Starting pipeline (REAL-TIME MODE) Transaction ID: 5979622d-be51-416e-8835-3207bebdcfae
2026-02-09 15:14:46 [INFO] Transaction 5979622d-be51-416e-8835-3207bebdcfae created.
2026-02-09 15:14:46 [INFO] Ensuring database schema exists...
2026-02-09 15:14:46 [INFO] Created/ensured processed_file_cache table
2026-02-09 15:14:46 [INFO] Created/ensured transaction table
2026-02-09 15:14:46 [INFO] Created/ensured audit table
2026-02-09 15:14:46 [INFO] Created partitioned drug_formulary_details table
2026-02-09 15:14:46 [INFO] Created/ensured pp_formulary_names table
2026-02-09 15:14:46 [INFO] Ensured coverage_status column exists in pp_formulary_names.
2026-02-09 15:14:46 [INFO] Ensured product mapping columns exist in drug_formulary_details.
2026-02-09 15:14:46 [INFO] Added preferred_agent column to drug_formulary_details.
2026-02-09 15:14:46 [INFO] Added non_preferred_agent column to drug_formulary_details.
2026-02-09 15:14:46 [INFO] Database schema ensured successfully with partitioning and comprehensive indexing
2026-02-09 15:14:46 [INFO] STEP 1: Populating Payer and Plan Tables from Excel
2026-02-09 15:14:46 [ERROR] Pipeline failed: Excel file not found: errors.xlsx
2026-02-09 15:15:12 [WARNING] json_repair not available. Using fallback JSON parsing.
2026-02-09 15:15:12 [INFO] Starting pipeline (REAL-TIME MODE) Transaction ID: 52077ac0-3ff6-443d-874d-67dd0940b314
2026-02-09 15:15:12 [INFO] Transaction 52077ac0-3ff6-443d-874d-67dd0940b314 created.
2026-02-09 15:15:12 [INFO] Ensuring database schema exists...
2026-02-09 15:15:12 [INFO] Created/ensured processed_file_cache table
2026-02-09 15:15:12 [INFO] Created/ensured transaction table
2026-02-09 15:15:12 [INFO] Created/ensured audit table
2026-02-09 15:15:12 [INFO] Created partitioned drug_formulary_details table
2026-02-09 15:15:12 [INFO] Created/ensured pp_formulary_names table
2026-02-09 15:15:12 [INFO] Ensured coverage_status column exists in pp_formulary_names.
2026-02-09 15:15:12 [INFO] Ensured product mapping columns exist in drug_formulary_details.
2026-02-09 15:15:12 [INFO] Added preferred_agent column to drug_formulary_details.
2026-02-09 15:15:12 [INFO] Added non_preferred_agent column to drug_formulary_details.
2026-02-09 15:15:12 [INFO] Database schema ensured successfully with partitioning and comprehensive indexing
2026-02-09 15:15:12 [INFO] STEP 1: Populating Payer and Plan Tables from Excel
2026-02-09 15:15:12 [INFO] Loaded 1 records from Excel
2026-02-09 15:15:12 [INFO] Cleaned DataFrame column names.
2026-02-09 15:15:12 [WARNING] Found misspelled column 'Formulory date'. Renaming to 'Formulary Date'.
2026-02-09 15:15:12 [INFO] Column 'Formulary Date' is not a datetime type. Attempting to auto-parse to datetime.
2026-02-09 15:15:12 [INFO] Column 'Captured Date' is not a datetime type. Attempting to auto-parse to datetime.
2026-02-09 15:15:12 [INFO] Created new payer: Aetna
2026-02-09 15:15:12 [INFO] Created new plan: Aetna Plan Florida Healthy Kids
2026-02-09 15:15:12 [INFO] Step 1 Complete! Processed 1 plans
2026-02-09 15:15:12 [INFO] Database now contains 1 payers and 1 plans
2026-02-09 15:15:13 [INFO] Found 1 plans to process
2026-02-09 15:15:13 [INFO] Transaction 9adc1e6d-49ea-4935-843d-81ee9d9f2c47 created.
2026-02-09 15:15:13 [INFO] Processing plan: Aetna Plan Florida Healthy Kids (ID: 0b24a3a4-ddcf-47a1-a519-ad5413932162) [Transaction: 9adc1e6d-49ea-4935-843d-81ee9d9f2c47]
2026-02-09 15:15:13 [INFO] url_mappings.json not found. No URL transformations will be applied.
2026-02-09 15:15:14 [INFO] Cache MISS for hash: a4ad92b9f1dec8c3da363706561ccbbc844f41b8740e798d478b0857a5dced5d
2026-02-09 15:15:14 [INFO] Applying page processing rule for 'Aetna Plan Florida Healthy Kids.pdf' from configuration default: all
2026-02-09 15:15:14 [INFO] Processing all 134 pages for 'Aetna Plan Florida Healthy Kids.pdf'.
2026-02-09 15:15:14 [INFO]    ✅ Page 2: Contains tier definitions - keeping for OCR
2026-02-09 15:15:14 [INFO]    ✅ Page 4: Contains tier definitions - keeping for OCR
2026-02-09 15:15:14 [INFO]    ✅ Page 5: Contains tier definitions - keeping for OCR
2026-02-09 15:15:14 [INFO]    ✅ Page 8: Contains tier definitions - keeping for OCR
2026-02-09 15:15:14 [INFO]    ✅ Page 10: Contains tier definitions - keeping for OCR
2026-02-09 15:15:14 [INFO]    ✅ Page 11: Contains tier definitions - keeping for OCR
2026-02-09 15:15:14 [INFO]    ✅ Page 18: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 32: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 33: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 34: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 35: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 36: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 37: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 38: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 39: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 40: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 41: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 42: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 43: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 44: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 45: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 46: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 47: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 48: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 49: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 50: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 51: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 52: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 53: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 54: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 55: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 56: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 57: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 58: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 59: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 60: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 61: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 62: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 63: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 64: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 65: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 66: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 67: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 68: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 69: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 70: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 73: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 74: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 75: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 76: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 77: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 78: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 79: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 80: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 81: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 82: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 83: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 85: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 86: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 87: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 88: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 89: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 90: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 91: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 93: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 94: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 95: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 96: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 97: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 98: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 99: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 100: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 101: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 102: Contains drug form keywords - keeping despite formatting
2026-02-09 15:15:14 [INFO]    ✅ Page 103: Contains drug form keywords - keeping despite formatting
